Video,Allogroming,Allogrooming,Allolicking,Self licking,Self-Grooming,Self-licking,allo groom,allo lick,allo licking,allogroom,allogrooming,allolick,allolicking,self lick,self licking,self-licking,selflick,selflicking
reliability1_AB.csv,0,0,0,0,0,0,0,0,0,0,52.444,0,145.937,0,21.866,0,0,0
reliability1_AN.csv,0,0,0,0,0,0,0,0,0,0,15.375,0,144.94899999999998,0,0,0,0,7.218
reliability1_AZ.csv,0,44.89499999999999,148.62800000000004,0,16.596999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
reliability1_BF.csv,0,0,0,0,0,0,0,0,0,0,13.182,0,132.92100000000002,0,0,4.9670000000000005,0,0
reliability1_DS.csv,0,0,0,0,0,0,0,0,0,0,15.65,0,134.98499999999999,0,5.1739999999999995,0,0,0
reliability1_KC.csv,0,5.4190000000000005,140.06099999999998,0,0,6.220000000000001,0,0,0,0,0,0,0,0,0,0,0,0
reliability1_KT.csv,0,0,0,0,0,0,0,0,0,0,25.75,0,142.538,0,0,0,0,4.954000000000001
reliability1_MA.csv,0,0,0,0,0,0,28.773999999999997,0,148.37699999999995,0,0,0,0,0,10.134,0,0,0
reliability1_MR.csv,0,1.032,147.45999999999998,15.308999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reliability1_MW.csv,0,23.846,151.50400000000005,0,0,10.39,0,0,0,0,0,0,0,0,0,0,0,0
