AB,AN,AZ,BF,DS,KC,KT,MA,MR,MW,NK,PRB
52.444,15.375,44.89499999999999,13.182,15.65,5.4190000000000005,25.75,28.773999999999997,1.032,23.846,30.814000000000004,24.368000000000002
41.99,10.235000000000001,18.534,11.815999999999999,13.72,14.834,0,29.459,5.62,23.622999999999998,17.11,4.587
35.54,12.672999999999998,10.921,11.392,13.049,3.918,6.301,15.336,8.6,2.37,16.14,6.51
64.548,73.28999999999999,74.835,52.074000000000005,43.114000000000004,57.387,39.641000000000005,69.76100000000002,28.09,64.21000000000001,78.952,55.33100000000002
65.812,76.321,63.95400000000001,80.731,54.273999999999994,60.840999999999994,54.852000000000004,87.067,77.499,78.045,84.21300000000001,84.975
101.93,140.85000000000002,76.143,125.50999999999999,95.116,74.483,82.144,171.23299999999998,79.453,163.852,129.35,132.03600000000003
