"Self-licking","",1.674,2.92,1.246,""
"Self-licking","",3.892,5.043,1.151,""
"Self-licking","",8.2,8.85,0.65,""
"Self-licking","",10.7,11.11,0.41,""
"Self-licking","",14.31,20.824,6.514,""
"Self-licking","",23.08,24.13,1.05,""
"Self-licking","",26.92,27.86,0.94,""
"Self-licking","",36.07,36.73,0.66,""
"Self-licking","",41.24,41.78,0.54,""
"Self-licking","",60.63,64.0,3.37,""
"Self-licking","",65.77,67.08,1.31,""
"Self-licking","",69.85,74.64,4.79,""
"Self-licking","",118.118,121.028,2.91,""
"Self-licking","",122.318,123.97,1.652,""
"Self-licking","",133.917,135.487,1.57,""
"Self-licking","",137.887,139.077,1.19,""
"Self-licking","",143.527,145.987,2.46,""
"Self-licking","",474.129,476.14,2.011,""
"Self-licking","",482.178,488.64,6.462,""
"Self-licking","",525.733,534.35,8.617,""
"Self-licking","",538.717,591.68,52.963,""
"Allolicking","",492.76,505.04,12.28,""
"Allolicking","",508.021,519.82,11.799,""
"Allolicking","",521.5,524.22,2.72,""
"Allolicking","",542.453,557.28,14.827,""
"Allogroming","",242.717,247.632,4.915,""
"Allogroming","",349.368,359.184,9.816,""
"Allogroming","",386.688,390.439,3.751,""
"Allogroming","",391.92,396.3,4.38,""
"Allogroming","",403.25,418.67,15.42,""
"Allogroming","",421.41,424.42,3.01,""
"Allogroming","",461.846,470.551,8.705,""
"Allogroming","",487.606,489.8,2.194,""
"Allogroming","",529.584,534.78,5.196,""
