self licking,,184.988,187.08,2.092
self licking,,188.591,189.09,0.499
self licking,,195.661,197.118,1.457
self licking,,208.24,210.37,2.13
self licking,,211.41,212.19,0.78
self licking,,213.07,214.17,1.1
self licking,,215.13,216.47,1.34
self licking,,219.65,220.64,0.99
allolicking,,7.74,9.12,1.38
allolicking,,117.53,131.2,13.67
allolicking,,149.79,153.8,4.01
allolicking,,221.49,222.63,1.14
allolicking,,223.889,230.07,6.181
allolicking,,237.96,239.4,1.44
allolicking,,245.624,292.238,46.614
allolicking,,293.22,307.953,14.733
allolicking,,308.941,319.523,10.582
allolicking,,320.511,341.535,21.024
allolicking,,352.151,356.732,4.581
allolicking,,359.383,360.011,0.628
allolicking,,383.975,388.482,4.507
allolicking,,399.5,408.04,8.54
allolicking,,429.984,431.546,1.562
allolicking,,548.255,553.953,5.698
allogrooming,,173.26,177.45,4.19
allogrooming,,195.42,206.74,11.32
allogrooming,,208.28,217.61,9.33
allogrooming,,219.375,222.29,2.915
allogrooming,,232.27,233.69,1.42
allogrooming,,344.103,345.742,1.639
