"allolicking","",46.257,49.58,3.323,""
"allolicking","",204.27,208.75,4.48,""
"allolicking","",245.16,247.11,1.95,""
"allogrooming","",215.88,221.5,5.62,""
"self licking","",2.28,3.68,1.4,""
"self licking","",6.14,7.09,0.95,""
"self licking","",9.28,10.29,1.01,""
"self licking","",12.2,12.65,0.45,""
"self licking","",23.69,24.58,0.89,""
"self licking","",26.27,27.17,0.9,""
"self licking","",28.37,30.55,2.18,""
"self licking","",38.11,42.29,4.18,""
"self licking","",45.778,49.98,4.202,""
"self licking","",52.87,54.55,1.68,""
"self licking","",57.34,57.73,0.39,""
"self licking","",61.59,62.15,0.56,""
"self licking","",65.99,67.36,1.37,""
"self licking","",74.44,75.69,1.25,""
"self licking","",77.28,77.67,0.39,""
"self licking","",81.44,82.35,0.91,""
"self licking","",83.96,87.81,3.85,""
"self licking","",109.89,112.19,2.3,""
"self licking","",214.2,218.88,4.68,""
"self licking","",248.97,254.02,5.05,""
"self licking","",264.26,264.53,0.27,""
"self licking","",264.87,265.41,0.54,""
"self licking","",266.0,267.05,1.05,""
"self licking","",267.54,267.99,0.45,""
"self licking","",268.62,269.14,0.52,""
"self licking","",269.81,289.48,19.67,""
"self licking","",290.69,291.68,0.99,""
"self licking","",294.08,295.14,1.06,""
"self licking","",298.33,299.27,0.94,""
"self licking","",338.22,340.54,2.32,""
"self licking","",342.46,343.83,1.37,""
"self licking","",460.79,462.37,1.58,""
"self licking","",526.93,583.08,56.15,""
"self licking","",589.05,598.46,9.41,""
