"Allogrooming","",215.736,221.17,5.434,""
"Allogrooming","",243.105,247.692,4.587,""
"Allolicking","",204.22,208.07,3.85,""
"Self-licking","",119.01,119.48,0.47,""
"Self-licking","",206.372,206.714,0.342,""
"Self-licking","",214.928,218.85,3.922,""
"Self-licking","",247.72,248.13,0.41,""
"Self-licking","",248.88,253.84,4.96,""
"Self-licking","",264.15,264.46,0.31,""
"Self-licking","",264.851,265.37,0.519,""
"Self-licking","",266.02,267.0,0.98,""
"Self-licking","",267.58,267.91,0.33,""
"Self-licking","",268.63,269.09,0.46,""
"Self-licking","",269.698,289.25,19.552,""
"Self-licking","",290.73,292.51,1.78,""
"Self-licking","",294.09,295.06,0.97,""
"Self-licking","",298.33,299.07,0.74,""
"Self-licking","",337.95,340.4,2.45,""
"Self-licking","",342.51,343.78,1.27,""
"Self-licking","",448.39,448.83,0.44,""
"Self-licking","",460.93,462.24,1.31,""
"Self-licking","",527.24,527.98,0.74,""
"Self-licking","",528.63,582.57,53.94,""
"Self-licking","",585.52,586.7,1.18,""
"Self-licking","",588.93,598.28,9.35,""
