"self lick","",1.971,4.366,2.395,""
"self lick","",11.131,11.972,0.841,""
"self lick","",12.543,14.029,1.486,""
"self lick","",14.873,16.376,1.503,""
"self lick","",19.167,20.817,1.65,""
"self lick","",24.517,24.854,0.337,""
"self lick","",29.892,30.725,0.833,""
"self lick","",38.414,39.3,0.886,""
"self lick","",51.764,60.857,9.093,""
"self lick","",64.67,66.422,1.752,""
"self lick","",69.273,71.387,2.114,""
"self lick","",76.46,78.343,1.883,""
"self lick","",84.504,86.35,1.846,""
"self lick","",89.405,91.034,1.629,""
"self lick","",96.321,100.154,3.833,""
"self lick","",102.123,103.345,1.222,""
"self lick","",107.401,109.199,1.798,""
"self lick","",112.542,114.34,1.798,""
"self lick","",355.614,359.383,3.769,""
"self lick","",360.343,363.404,3.061,""
"self lick","",392.453,401.685,9.232,""
"self lick","",412.647,414.23,1.583,""
"self lick","",465.473,467.374,1.901,""
"self lick","",468.359,468.982,0.623,""
"self lick","",469.87,501.194,31.324,""
"self lick","",504.826,509.627,4.801,""
"self lick","",531.141,537.593,6.452,""
"self lick","",566.893,578.754,11.861,""
"self lick","",588.08,599.963,11.883,""
"allo lick","",8.898,9.075,0.177,""
"allo groom","",268.002,271.097,3.095,""
"allo groom","",297.304,299.184,1.88,""
"allo groom","",314.197,322.117,7.92,""
"allo groom","",336.119,353.68,17.561,""
"allo groom","",355.452,362.118,6.666,""
"allo groom","",362.671,363.683,1.012,""
"allo groom","",528.498,534.277,5.779,""
"allo groom","",536.773,540.128,3.355,""
"allo groom","",541.427,557.484,16.057,""
"allo groom","",558.304,562.052,3.748,""
"allo groom","",563.882,569.014,5.132,""
"allo groom","",570.203,577.699,7.496,""
"allo groom","",578.81,586.176,7.366,""
