selflicking,,2.459,3.71,1.251
selflicking,,5.98,7.16,1.18
selflicking,,9.15,10.25,1.1
selflicking,,11.97,12.76,0.79
selflicking,,23.697,24.94,1.243
selflicking,,26.328,27.26,0.932
selflicking,,28.449,30.55,2.101
selflicking,,38.327,42.28,3.953
selflicking,,45.538,49.68,4.142
selflicking,,52.67,54.57,1.9
selflicking,,57.46,57.87,0.41
selflicking,,61.723,63.508,1.785
selflicking,,73.731,73.87,0.139
selflicking,,74.648,75.83,1.182
selflicking,,77.21,77.61,0.4
selflicking,,81.623,82.16,0.537
selflicking,,84.214,87.68,3.466
selflicking,,109.86,111.93,2.07
selflicking,,118.93,119.52,0.59
selflicking,,213.184,219.04,5.856
selflicking,,249.683,254.443,4.76
selflicking,,264.13,267.14,3.01
selflicking,,267.58,267.93,0.35
selflicking,,268.541,269.273,0.732
selflicking,,269.755,292.637,22.882
selflicking,,294.352,295.156,0.804
selflicking,,298.443,299.219,0.776
selflicking,,338.014,340.371,2.357
selflicking,,460.434,462.314,1.88
selflicking,,524.476,528.185,3.709
selflicking,,528.711,582.873,54.162
selflicking,,585.493,586.79,1.297
selflicking,,589.096,598.498,9.402
allolicking,,29.934,30.651,0.717
allolicking,,46.474,49.376,2.902
allolicking,,204.617,209.338,4.721
allolicking,,245.396,247.327,1.931
allogrooming,,99.434,101.32,1.886
allogrooming,,109.983,114.184,4.201
allogrooming,,127.487,127.97,0.483
allogrooming,,215.757,221.77,6.013
allogrooming,,230.795,233.467,2.672
allogrooming,,236.46,239.306,2.846
allogrooming,,261.886,262.319,0.433
