self licking,,2.04,4.55,2.51
self licking,,11.17,11.99,0.82
self licking,,12.61,13.94,1.33
self licking,,14.9,16.55,1.65
self licking,,19.21,20.74,1.53
self licking,,24.32,24.93,0.61
self licking,,38.52,39.29,0.77
self licking,,51.98,60.81,8.83
self licking,,64.78,66.46,1.68
self licking,,69.42,71.25,1.83
self licking,,84.89,86.48,1.59
self licking,,89.48,91,1.52
self licking,,96.37,100.13,3.76
self licking,,102.06,103.15,1.09
self licking,,107.53,109.37,1.84
self licking,,113.46,114.31,0.85
self licking,,356.29,363.39,7.1
self licking,,392.55,401.59,9.04
self licking,,412.596,414.21,1.614
self licking,,465.66,467.4,1.74
self licking,,468.39,469.03,0.64
self licking,,469.91,501.1,31.19
self licking,,504.93,509.54,4.61
self licking,,530.573,537.957,7.384
self licking,,542.41,544.17,1.76
self licking,,566.58,578.67,12.09
self licking,,588.38,600,11.62
allogrooming,,16.55,17.51,0.96
allogrooming,,41.85,44.658,2.808
allogrooming,,46.48,48.99,2.51
allogrooming,,56.31,57.47,1.16
allogrooming,,60.2,62.99,2.79
allogrooming,,69.16,72.84,3.68
allogrooming,,110.51,113.32,2.81
allogrooming,,172.93,174.45,1.52
allogrooming,,267.907,271.241,3.334
allogrooming,,313.46,316.25,2.79
allogrooming,,349.53,350.7,1.17
allogrooming,,355.37,363.63,8.26
allogrooming,,419.975,420.72,0.745
allogrooming,,528.75,534.2,5.45
allogrooming,,536.879,540.555,3.676
allogrooming,,541.17,557.01,15.84
allogrooming,,558.2,561.95,3.75
allogrooming,,564.17,569.15,4.98
allogrooming,,570.57,577.75,7.18
allogrooming,,578.85,586.19,7.34
allogrooming,,589.39,590.85,1.46
