"Allogrooming","",208.226,220.763,12.537,""
"Allogrooming","",344.771,345.803,1.032,""
"Allolicking","",118.1,130.8,12.7,""
"Allolicking","",149.895,154.066,4.171,""
"Allolicking","",221.881,222.975,1.094,""
"Allolicking","",223.975,230.763,6.788,""
"Allolicking","",238.618,240.194,1.576,""
"Allolicking","",241.052,241.83,0.778,""
"Allolicking","",246.88,341.245,94.365,""
"Allolicking","",352.124,357.435,5.311,""
"Allolicking","",383.879,388.861,4.982,""
"Allolicking","",399.831,408.2,8.369,""
"Allolicking","",429.729,431.7,1.971,""
"Allolicking","",548.645,554.0,5.355,""
"Self licking","",184.864,189.877,5.013,""
"Self licking","",196.538,198.585,2.047,""
"Self licking","",208.712,210.878,2.166,""
"Self licking","",211.846,212.722,0.876,""
"Self licking","",213.463,214.644,1.181,""
"Self licking","",215.32,217.346,2.026,""
"Self licking","",220.038,221.07,1.032,""
"Self licking","",349.913,350.881,0.968,""
