"self licking","",2.497,3.65,1.153,""
"self licking","",6.294,7.17,0.876,""
"self licking","",9.283,10.27,0.987,""
"self licking","",12.067,12.54,0.473,""
"self licking","",23.688,24.81,1.122,""
"self licking","",26.159,27.1,0.941,""
"self licking","",28.244,30.35,2.106,""
"self licking","",38.217,40.74,2.523,""
"self licking","",45.47,48.88,3.41,""
"self licking","",52.93,54.51,1.58,""
"self licking","",63.22,63.78,0.56,""
"self licking","",74.585,75.42,0.835,""
"self licking","",77.223,77.57,0.347,""
"self licking","",81.43,82.23,0.8,""
"self licking","",83.94,87.29,3.35,""
"self licking","",109.98,111.82,1.84,""
"self licking","",118.89,119.44,0.55,""
"self licking","",217.589,218.73,1.141,""
"self licking","",248.1,253.54,5.44,""
"self licking","",266.431,266.71,0.279,""
"self licking","",270.064,289.05,18.986,""
"self licking","",294.215,294.45,0.235,""
"self licking","",298.449,299.08,0.631,""
"self licking","",338.278,340.43,2.152,""
"self licking","",342.927,343.72,0.793,""
"self licking","",527.119,581.97,54.851,""
"self licking","",585.972,586.41,0.438,""
"self licking","",589.08,598.24,9.16,""
"allolicking","",47.054,48.55,1.496,""
"allolicking","",205.038,208.63,3.592,""
"allogrooming","",110.261,113.84,3.579,""
"allogrooming","",216.175,221.55,5.375,""
"allogrooming","",231.238,233.93,2.692,""
"allogrooming","",243.509,245.27,1.761,""
"allogrooming","",339.947,340.26,0.313,""
