"allogrooming","",2.61,7.49,4.88,""
"allogrooming","",37.27,45.71,8.44,""
"allogrooming","",60.44,71.46,11.02,""
"allogrooming","",74.17,75.51,1.34,""
"allogrooming","",82.53,84.54,2.01,""
"allogrooming","",85.39,95.02,9.63,""
"allogrooming","",96.51,98.27,1.76,""
"allogrooming","",103.4,105.52,2.12,""
"allogrooming","",159.39,162.2,2.81,""
"allogrooming","",378.476,393.579,15.103,""
"allogrooming","",394.66,418.42,23.76,""
"allogrooming","",419.52,420.98,1.46,""
"self licking","",17.07,20.11,3.04,""
"self licking","",32.77,34.97,2.2,""
"self licking","",38.95,43.16,4.21,""
"self licking","",509.04,599.98,90.94,""
