allogrooming,,2.67,6.22,3.55
allogrooming,,37.11,41.63,4.52
allogrooming,,51.83,56.81,4.98
allogrooming,,60.6,71.19,10.59
allogrooming,,80.27,94.55,14.28
allogrooming,,110.27,112.75,2.48
allogrooming,,142.46,148.94,6.48
allogrooming,,159.4,162.34,2.94
allogrooming,,201.57,214.29,12.72
allogrooming,,292.11,297.78,5.67
allogrooming,,371.47,375.92,4.45
allogrooming,,382.57,392.89,10.32
allogrooming,,395.82,418.32,22.5
self licking,,18.05,19.83,1.78
self licking,,32.68,34.26,1.58
self licking,,39.41,42.32,2.91
self licking,,509.06,590.03,80.97
self licking,,592.64,599.994,7.354
