"Self-licking","",184.76,188.54,3.78,""
"Self-licking","",208.29,210.91,2.62,""
"Self-licking","",211.49,212.13,0.64,""
"Self-licking","",213.13,214.18,1.05,""
"Self-licking","",215.18,216.04,0.86,""
"Self-licking","",219.58,220.63,1.05,""
"Allolicking","",118.774,131.21,12.436,""
"Allolicking","",149.85,153.83,3.98,""
"Allolicking","",224.245,228.57,4.325,""
"Allolicking","",237.85,239.29,1.44,""
"Allolicking","",247.218,320.382,73.164,""
"Allolicking","",322.054,341.654,19.6,""
"Allolicking","",351.66,356.93,5.27,""
"Allolicking","",383.87,388.42,4.55,""
"Allolicking","",400.688,408.574,7.886,""
"Allolicking","",429.24,430.94,1.7,""
"Allolicking","",548.24,553.95,5.71,""
"Allogrooming","",204.026,207.682,3.656,""
"Allogrooming","",344.177,345.94,1.763,""
