allolicking,,118.105,131.941,13.836
allolicking,,150.036,154.123,4.087
allolicking,,172.446,173.002,0.556
allolicking,,222.633,232.075,9.442
allolicking,,237.999,239.493,1.494
allolicking,,241.043,241.427,0.384
allolicking,,246.678,291.88,45.202
allolicking,,291.88,342.231,50.351
allolicking,,351.518,358.191,6.673
allolicking,,359.118,360.631,1.513
allolicking,,384.092,389.173,5.081
allolicking,,400.915,408.755,7.84
allolicking,,429.743,433.717,3.974
allolicking,,548.802,554.743,5.941
allogrooming,,113.794,115.12,1.326
allogrooming,,198.892,203.272,4.38
allogrooming,,204.113,207.114,3.001
allogrooming,,207.913,218.142,10.229
allogrooming,,219.192,221.903,2.711
allogrooming,,343.979,345.918,1.939
allogrooming,,555.997,557.59,1.593
allogrooming,,559.491,560.062,0.571
selflicking,,188.201,190.166,1.965
selflicking,,193.637,195.546,1.909
selflicking,,196.505,197.585,1.08
