allogrooming,,195.503,206.48,10.977
allogrooming,,208.431,222.52,14.089
allogrooming,,344.364,345.65,1.286
allolicking,,108.755,109.53,0.775
allolicking,,117.63,131.24,13.61
allolicking,,149.8,153.84,4.04
allolicking,,223.812,229.19,5.378
allolicking,,238.584,239.56,0.976
allolicking,,246.698,292.82,46.122
allolicking,,293.702,340.64,46.938
allolicking,,352.077,357.13,5.053
allolicking,,382.99,388.56,5.57
allolicking,,399.739,408.19,8.451
allolicking,,429.351,431.66,2.309
allolicking,,548.243,553.97,5.727
selflicking,,184.62,186.83,2.21
selflicking,,208.471,210.12,1.649
selflicking,,211.51,213.21,1.7
selflicking,,215.17,216.38,1.21
selflicking,,349.731,350.18,0.449
